"","SBP_R","BMI_R","Smoker_R","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"38",NA,"Obese","No smoke",0.551098096632504,0.471783987126561,0.31809253016859,5646,3.43435544716341e-58,1.03030663414902e-57
"39",NA,"Overweight","Smoke",0.0456808199121523,0.09412053932587,-0.774989714046799,468,2.83348118003011e-63,1.13339247201204e-62
"40",NA,"Overweight","No smoke",0.243435822352367,0.185807258716441,0.343553207854238,2494,7.70362558583928e-51,1.84887014060143e-50
"41",NA,"Underweight","Smoke",0,0.00308309680688536,-Inf,0,-Inf,-Inf
"42",NA,"Underweight","No smoke",0.000292825768667643,0.00339752027727593,-2.45433376464612,3,1.20334197835095e-11,1.44401037402114e-11
"43","SBP 120-129","Normal weight","Smoke",0.00303921568627451,0.00757211148305104,-0.917429554094418,31,1.28466413307526e-07,1.59053654571223e-07
"44","SBP 120-129","Normal weight","No smoke",0.0120588235294118,0.00769524803859283,0.453600746329577,123,4.57739668842201e-07,5.53545646041731e-07
"45","SBP 120-129","Obese","Smoke",0.0170588235294118,0.0321616618184926,-0.649591747726567,174,5.35898931821928e-18,7.74076234853896e-18
"46","SBP 120-129","Obese","No smoke",0.109019607843137,0.143979508487231,-0.318171338890122,1112,8.53771061780205e-24,1.34533621856275e-23
"47","SBP 120-129","Overweight","Smoke",0.00784313725490196,0.0266851076148905,-1.24364029049615,80,3.56179673631775e-32,6.38667000994907e-32
"48","SBP 120-129","Overweight","No smoke",0.0432352941176471,0.0345949958363779,0.231938324434044,441,1.79765865574627e-06,2.07729444664014e-06
"49","SBP 120-129","Underweight","Smoke",0,0,-9999999,0,-9999999,-64999993.5
"50","SBP 120-129","Underweight","No smoke",0,0,-9999999,0,-9999999,-74285706.8571429
"51","SBP 130-139","Normal weight","Smoke",0.00323529411764706,0,-8888888,33,-8888888,-38518514.6666667
"52","SBP 130-139","Normal weight","No smoke",0.0155882352941176,0.00949567506656164,0.501850006089698,159,2.22907634656488e-10,3.05031500056246e-10
"53","SBP 130-139","Obese","Smoke",0.0180392156862745,0.0180489869844578,-0.000551473992841167,184,0.994085512620657,0.994085512620657
"54","SBP 130-139","Obese","No smoke",0.138725490196078,0.121068325137479,0.156435916800323,1415,4.58393555612385e-08,5.95911622296101e-08
"55","SBP 130-139","Overweight","Smoke",0.0112745098039216,0.00872861796233595,0.258508973164814,115,0.00570608314155495,0.00631311326299697
"56","SBP 130-139","Overweight","No smoke",0.0663725490196078,0.0212862279836476,1.18438501073661,677,1.92826034347223e-218,6.6846358573704e-218
"57","SBP 130-139","Underweight","Smoke",0,0.000589763650685027,-Inf,0,-Inf,-Inf
"58","SBP 130-139","Underweight","No smoke",9.80392156862745e-05,0,-8888888,1,-8888888,-42020197.8181818
"59","SBP<120","Normal weight","Smoke",0.00392156862745098,0.0191735293007036,-1.60246935883679,40,2.82190877536131e-29,4.58560175996213e-29
"60","SBP<120","Normal weight","No smoke",0.0108823529411765,0.0130024584250578,-0.180141699673591,111,0.0587434227700434,0.0636387080008804
"61","SBP<120","Obese","Smoke",0.0143137254901961,0.048404425165104,-1.25357033293703,146,6.46885431507434e-58,1.46252358427768e-57
"62","SBP<120","Obese","No smoke",0.083921568627451,0.140722393397032,-0.580916393498974,856,3.85239308788782e-61,9.10565638955304e-61
"63","SBP<120","Overweight","Smoke",0.00980392156862745,0.0401181713451381,-1.4401397175297,100,7.10594262651453e-55,1.53962090241148e-54
"64","SBP<120","Overweight","No smoke",0.0344117647058824,0.0569837390187366,-0.528021403097806,351,8.02830791666985e-23,1.22785885784362e-22
"65","SBP<120","Underweight","Smoke",0,0.00277185603473461,-Inf,0,-Inf,-Inf
"66","SBP<120","Underweight","No smoke",0,0,-9999999,0,-9999999,-103999989.6
"67","SBP>=140","Normal weight","Smoke",0.00764705882352941,0.0148956312110675,-0.674078094010998,78,1.50891485073858e-09,2.01188646765144e-09
"68","SBP>=140","Normal weight","No smoke",0.0275490196078431,0.0124521945302527,0.809475311925947,281,5.13547710081338e-43,1.02709542016268e-42
"69","SBP>=140","Obese","Smoke",0.0265686274509804,0.0526493653871506,-0.711081128275504,271,4.18219087780051e-32,7.24913085485422e-32
"70","SBP>=140","Obese","No smoke",0.218823529411765,0.078456535031729,1.19096969028129,2232,0,0
"71","SBP>=140","Overweight","Smoke",0.0168627450980392,0.0130061848171219,0.263596791181215,172,0.000586676263937529,0.000663199254885902
"72","SBP>=140","Overweight","No smoke",0.0995098039215686,0.0754572862723691,0.30304939413924,1015,3.68056350673222e-20,5.46826578143073e-20
"73","SBP>=140","Underweight","Smoke",0,0,-9999999,0,-9999999,-129999987
"74","SBP>=140","Underweight","No smoke",0.000196078431372549,0,-8888888,2,-8888888,-46222217.6
