"","SBP_R","BMI_R","Smoker_R","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"17","SBP 130-139","Overweight",NA,0.0646702577680392,0.0486962750307038,0.300633115522736,2125,2.93929493470508e-41,4.52199220723859e-41
"18","SBP 130-139","Underweight",NA,0.00136948781155848,0.00244008460877958,-0.5786685447225,45,8.371146754714e-05,8.81173342601474e-05
"19","SBP<120","Normal weight",NA,0.00925165099363949,0.0426148700537369,-1.56165605379284,304,5.70462446565986e-197,1.14092489313197e-196
"20","SBP<120","Obese",NA,0.0170729480507623,0.122856626323182,-2.08738725713546,561,0,0
"21","SBP<120","Overweight",NA,0.0163121214887854,0.0724452087462608,-1.54967883688716,536,0,0
"22","SBP<120","Underweight",NA,0.000365196749748927,0.00116195735706369,-1.15822235960086,12,2.24040082205735e-05,2.48933424673039e-05
"23","SBP>=140","Normal weight",NA,0.135640159469247,0.0568826061438169,0.956217490673858,4457,0,0
"24","SBP>=140","Obese",NA,0.284153504367144,0.150264725090448,0.808575135223505,9337,0,0
"25","SBP>=140","Overweight",NA,0.264737210505493,0.107479662982694,1.09525735531269,8699,0,0
"26","SBP>=140","Underweight",NA,0.00608661249581545,0.00282266141582188,0.771690040970964,200,6.99650632815315e-29,8.74563291019143e-29
"27","SBP 120-129",NA,"No smoke",0.0734522560335782,0.153569654168514,-0.827956282455947,2450,0,0
"28","SBP 120-129",NA,"Smoke",0.0214060860440714,0.0861432459291269,-1.46077920949886,714,0,0
"29","SBP 130-139",NA,"No smoke",0.134762404437116,0.127602012979994,0.062838695006282,4495,8.87312690195014e-05,8.87312690195014e-05
"30","SBP 130-139",NA,"Smoke",0.0362464398141208,0.093703554119098,-1.01126411838999,1209,6.04747670883481e-284,8.06330227844641e-284
"31","SBP<120",NA,"No smoke",0.0320791485534403,0.139756076572591,-1.58962668950644,1070,0,0
"32","SBP<120",NA,"Smoke",0.010792984560036,0.118683819403108,-2.51305380978101,360,0,0
"33","SBP>=140",NA,"No smoke",0.540758506970469,0.162364168323797,1.80413826884197,18037,0,0
"34","SBP>=140",NA,"Smoke",0.150502173587168,0.118177468503772,0.279135503381729,5020,1.03857952665661e-74,1.24629543198794e-74
"35",NA,"Normal weight","No smoke",0.132505554033902,0.0646437583287104,0.793051361203662,4354,0,0
"36",NA,"Normal weight","Smoke",0.0626921087068992,0.10165210347522,-0.525775066402857,2060,8.55574796748494e-121,1.71114959349699e-120
"37",NA,"Obese","No smoke",0.342889314951764,0.337282091262454,0.0249849998252388,11267,0.031564771052865,0.037877725263438
"38",NA,"Obese","Smoke",0.0713655315134362,0.200918108646502,-1.1853341653432,2345,0,0
"39",NA,"Overweight","No smoke",0.30046562585593,0.176053281026504,0.698237607732777,9873,0,0
"40",NA,"Overweight","Smoke",0.0816214735688852,0.109462322730366,-0.32427225327679,2682,9.03672996061706e-59,1.35550949409256e-58
"41",NA,"Underweight","No smoke",0.00450409324690344,0.00609420001528288,-0.303949486152073,148,0.000212572647971022,0.000283430197294697
"42",NA,"Underweight","Smoke",0.00395629812228005,0.00389413451496147,0.0158997285063611,130,0.856424295494586,0.856424295494586
"43","SBP 120-129","Normal weight","No smoke",0.0112298000547795,0.0125490156591348,-0.112406354156413,369,0.031695657652172,0.0323171411355479
"44","SBP 120-129","Normal weight","Smoke",0.00629964393316899,0.0231894948138524,-1.32034928424737,207,5.42119564755228e-92,9.72076460940408e-92
"45","SBP 120-129","Obese","No smoke",0.0335372348519432,0.0947670953185953,-1.10421645213294,1102,0,0
"46","SBP 120-129","Obese","Smoke",0.007090903557625,0.0386880566611682,-1.72905832178069,233,7.70912478616429e-194,1.74293256035019e-193
"47","SBP 120-129","Overweight","No smoke",0.0285157795428954,0.0478847860029256,-0.538479207413534,937,9.35587805288731e-61,1.47425957197012e-60
"48","SBP 120-129","Overweight","Smoke",0.00785173011960194,0.0236230332139804,-1.1175121282177,258,4.77741962811549e-79,8.01373615038727e-79
"49","SBP 120-129","Underweight","No smoke",0.000304330624790773,0,-8888888,10,-8888888,-154074058.666667
"50","SBP 120-129","Underweight","Smoke",0.00033476368726985,0,-8888888,11,-8888888,-231111088
"51","SBP 130-139","Normal weight","No smoke",0.0225508992969963,0.015602038412391,0.375457400293647,741,2.87044999608621e-24,3.73158499491207e-24
"52","SBP 130-139","Normal weight","Smoke",0.01022550899297,0.0259900561242938,-0.948884145566117,336,3.95753207297422e-72,6.4309896185831e-72
"53","SBP 130-139","Obese","No smoke",0.0604400620834475,0.08277641434098,-0.338551354256609,1986,7.01330885970005e-49,1.07262370795413e-48
"54","SBP 130-139","Obese","Smoke",0.0119601935542774,0.0519313131617691,-1.50963404558835,393,6.98742130937346e-234,1.91234688467063e-233
"55","SBP 130-139","Overweight","No smoke",0.0510362457774126,0.0246217972329596,0.756358656650879,1677,1.29338590853783e-209,3.36280336219837e-209
"56","SBP 130-139","Overweight","Smoke",0.0136340119906266,0.0161638607519886,-0.172778492367237,448,0.000276329909383165,0.000299357401831763
"57","SBP 130-139","Underweight","No smoke",0.000912991874372318,0.00416690761508765,-1.52146468439857,30,5.35684317305924e-20,6.79404499997758e-20
"58","SBP 130-139","Underweight","Smoke",0.000456495937186159,0.00061365906409708,-0.29601695091944,15,0.249980602156407,0.249980602156407
"59","SBP<120","Normal weight","No smoke",0.0060257463708573,0.0135234223241168,-0.815953540591297,198,5.77157892984997e-32,7.89795011453154e-32
"60","SBP<120","Normal weight","Smoke",0.00322590462278219,0.0284601899581099,-2.20293476712322,106,1.38419438159767e-166,2.99908782679495e-166
"61","SBP<120","Obese","No smoke",0.0136948781155848,0.0885880340026412,-1.94594564231483,450,0,0
"62","SBP<120","Obese","Smoke",0.00337806993517758,0.0539648428315013,-2.82312001265443,111,0,0
"63","SBP<120","Overweight","No smoke",0.0124166894914635,0.0366404357277494,-1.10694507434634,408,8.25542722363362e-121,1.58993413195907e-120
"64","SBP<120","Overweight","Smoke",0.00389543199732189,0.0352429536368736,-2.23443696435437,128,1.56866063324471e-208,3.88430252041548e-208
"65","SBP<120","Underweight","No smoke",0.000121732249916309,0,-8888888,4,-8888888,-462222176
"66","SBP<120","Underweight","Smoke",0.000243464499832618,0.00227648443165686,-2.23745206079997,8,1.0528627669397e-14,1.27322939257824e-14
"67","SBP>=140","Normal weight","No smoke",0.0926991083112694,0.0168683114312156,1.78419099308604,3046,0,0
"68","SBP>=140","Normal weight","Smoke",0.042941051157978,0.0260533964951961,0.517171621634317,1411,2.64224952978269e-82,4.57989918495667e-82
"69","SBP>=140","Obese","No smoke",0.235217139900788,0.0727779736616562,1.36569683424048,7729,0,0
"70","SBP>=140","Obese","Smoke",0.0489363644663562,0.0530940252366939,-0.0859248069638139,1608,0.000775924026249472,0.000823429578876991
"71","SBP>=140","Overweight","No smoke",0.208496911044158,0.0713294986345256,1.23243447148556,6851,0,0
"72","SBP>=140","Overweight","Smoke",0.0562402994613348,0.0350854464978625,0.494015129991354,1848,1.81993926395473e-96,3.37988720448736e-96
"73","SBP>=140","Underweight","No smoke",0.00316503849782404,0.00229105384201539,0.324029689906602,104,0.000920747305446364,0.000957577197664218
"74","SBP>=140","Underweight","Smoke",0.00292157399799142,0.00123640291496212,0.861604904798824,96,3.5360712322719e-18,4.3779929542414e-18
